question_id,subject,gold,pred,correct,latency_ms,raw_output
0,abstract_algebra,B,D,0,730.3902000003291, D\nAnswer:
1,high_school_computer_science,C,,0,223.0585000015708, \n\n\n
2,machine_learning,D,D,1,220.10320000117645, D\nAnswer:\n
3,abstract_algebra,C,A,0,215.19509999961883, A\nAnswer:\n
4,high_school_computer_science,A,A,1,229.18810000010126, A\nAnswer:\n
5,machine_learning,C,D,0,265.0868000000628, D\nAnswer:\n
6,abstract_algebra,D,C,0,247.68389999917417, C\nAnswer:\n
7,high_school_computer_science,A,D,0,273.4615000008489, D\nAnswer:
8,machine_learning,B,D,0,292.6495000010618, D\nAnswer:\n
9,abstract_algebra,B,D,0,236.55150000013236, D\nAnswer:\n
10,high_school_computer_science,C,A,0,262.9157000010309, A\nAnswer:\n
11,machine_learning,D,,0,257.2120000004361, \n\n\n
12,abstract_algebra,B,,0,219.1294000003836, \n\n\n
13,high_school_computer_science,B,D,0,200.7995000003575, D\n\nAnswer:\n
14,machine_learning,A,A,1,222.8333000002749, A\nAnswer:\n
15,abstract_algebra,A,D,0,231.7951000004541, D\nAnswer:\n
16,high_school_computer_science,C,D,0,223.1026000008569, D\nAnswer:
17,machine_learning,B,D,0,211.75880000009784, D\nAnswer:\n
18,abstract_algebra,A,D,0,250.4244000010658, D\nAnswer:\n
19,high_school_computer_science,B,D,0,224.12240000085148, D\nAnswer:
20,machine_learning,A,C,0,211.52499999880092, C\nAnswer:\n
21,abstract_algebra,D,D,1,201.72619999902963, D\nAnswer:\n
22,high_school_computer_science,B,B,1,217.75630000047386, \boxed{A
23,machine_learning,B,D,0,237.16909999893687, D\nAnswer:\n
24,abstract_algebra,B,D,0,217.81519999967713, D\nAnswer:
25,high_school_computer_science,A,D,0,216.25280000080238, D\nAnswer:
26,machine_learning,C,,0,233.64440000113973, \n\nThe
27,abstract_algebra,C,D,0,222.750900000392, D\nAnswer:
28,high_school_computer_science,B,,0,201.84159999917028, \n\n\n
29,machine_learning,A,A,1,227.02949999984412, A\nAnswer:\n
30,abstract_algebra,C,D,0,244.88840000049095, D\nAnswer:\n
31,high_school_computer_science,B,A,0,224.10470000068017, \n\nA
32,machine_learning,A,D,0,242.5745000000461, D\nAnswer:\n
33,abstract_algebra,C,D,0,229.7589000008884, D\nAnswer:\n
34,high_school_computer_science,C,C,1,244.9849999993603, C\nAnswer:
35,machine_learning,C,D,0,243.9369000003353, D\nAnswer:\n
36,abstract_algebra,A,,0,213.45689999907336, \n\n\n\n
37,high_school_computer_science,C,A,0,258.3094000001438, A\nAnswer:\n
38,machine_learning,A,D,0,228.56820000015432, D\nAnswer:\n
39,abstract_algebra,C,,0,230.4509000005055, \n\n\n
40,high_school_computer_science,B,B,1,212.79909999975644, B\nAnswer:
41,machine_learning,B,D,0,218.41960000165273, D\nAnswer:\n
42,abstract_algebra,C,,0,233.31639999923937, \n\n\n
43,high_school_computer_science,C,C,1,236.10670000016398, C\nAnswer:\n
44,machine_learning,B,B,1,239.49820000052569, B\nAnswer:\n
45,abstract_algebra,B,D,0,235.45630000080564, D\nAnswer:\n
46,high_school_computer_science,A,A,1,214.2163000007713, A\nAnswer:\n
47,machine_learning,B,D,0,198.15920000110054, D\nAnswer:\n
48,abstract_algebra,C,,0,219.41169999990962, \n\n\n
49,high_school_computer_science,D,,0,224.01600000011967, \n\n\n
50,machine_learning,C,D,0,232.210699999996, D\nAnswer:
51,abstract_algebra,C,,0,225.42880000037258, \n\n\n
52,high_school_computer_science,D,D,1,219.91060000073048, D\nAnswer:
53,machine_learning,A,A,1,225.06550000071002, A\nAnswer:\n
54,abstract_algebra,D,A,0,223.00949999953446, A\nAnswer:\n
55,high_school_computer_science,D,C,0,213.81230000042706, C\nAnswer:\n
56,machine_learning,A,A,1,225.05939999973634, A\nAnswer:\n
57,abstract_algebra,A,D,0,227.40669999984675, D\nAnswer:\n
58,high_school_computer_science,A,D,0,213.16350000051898, D\nAnswer:
59,machine_learning,A,D,0,214.32519999871147, D\nAnswer:\n
60,abstract_algebra,A,D,0,219.47449999970559, D\nAnswer:\n
61,high_school_computer_science,C,,0,211.6715000011027, \n\n\n
62,machine_learning,C,C,1,211.34709999932966, C\nAnswer:\n
63,abstract_algebra,A,,0,218.98390000023937, \n\n\n
64,high_school_computer_science,B,D,0,218.56079999997746, D\nAnswer:\n
65,machine_learning,A,D,0,209.04479999990144, D\nAnswer:\n
66,abstract_algebra,D,D,1,213.42700000059267, D\nAnswer:\n
67,high_school_computer_science,B,,0,211.9827999995323, \n\n\n
68,machine_learning,B,A,0,216.12830000049144, A\nAnswer:\n
69,abstract_algebra,D,A,0,227.83089999938966, A\nAnswer:\n
70,high_school_computer_science,C,A,0,220.1294999995298, \n\nA
71,machine_learning,C,D,0,239.8808000016288, D\nAnswer:\n
72,abstract_algebra,B,D,0,254.09209999997984, D\nAnswer:\n
73,high_school_computer_science,D,A,0,234.12379999899713, A\nAnswer:\n
74,machine_learning,B,D,0,226.7801000016334, D\nAnswer:
75,abstract_algebra,C,D,0,237.54050000025018, D\nAnswer:
76,high_school_computer_science,C,C,1,229.93459999997867, C\nAnswer:
77,machine_learning,A,D,0,240.4581999999209, D\nAnswer:\n
78,abstract_algebra,C,D,0,225.07859999859647, D\nAnswer:\n
79,high_school_computer_science,C,D,0,237.44859999897017, D\nAnswer:\n
80,machine_learning,B,D,0,231.0378000001947, D\nAnswer:\n
81,abstract_algebra,B,A,0,212.08180000030552, A\nAnswer:\n
82,high_school_computer_science,D,D,1,219.19100000013714, D\nAnswer:\n
83,machine_learning,C,A,0,245.34159999893745, A\nAnswer:\n
84,abstract_algebra,D,D,1,228.76980000000913, D\nAnswer:\n
85,high_school_computer_science,A,D,0,193.9103000004252, D\nAnswer:
86,machine_learning,D,D,1,234.986100000242, D\nAnswer:\n
87,abstract_algebra,A,D,0,238.7135999997554, D\nAnswer:\n
88,high_school_computer_science,A,A,1,217.02299999924435, A\nAnswer:\n
89,machine_learning,C,A,0,228.282299998682, A\nAnswer:\n
90,abstract_algebra,B,D,0,215.2341000000888, D\nAnswer:\n
91,high_school_computer_science,A,D,0,243.11620000116818, D\nAnswer:
92,machine_learning,C,D,0,208.23120000022755, D\nAnswer:\n
93,abstract_algebra,B,A,0,207.7382999996189, A\nAnswer:\n
94,high_school_computer_science,C,D,0,230.46509999949194, D\nAnswer:\n
95,machine_learning,C,D,0,229.5630999997229, D\nAnswer:\n
96,abstract_algebra,A,D,0,219.55270000034943, D\nAnswer:\n
97,high_school_computer_science,D,B,0,246.69840000024124, \boxed{D
98,machine_learning,B,A,0,217.71259999877657, A\nAnswer:\n
99,abstract_algebra,C,D,0,243.44530000053055, D\nAnswer:\n
