question_id,subject,gold,pred,correct,latency_ms,prompt_tokens,protocol,raw_output
0,abstract_algebra,B,B,1,1615.5643000020063,98,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""B""}\n```"
1,high_school_computer_science,C,C,1,950.7174999998824,91,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
2,machine_learning,D,C,0,861.028899998928,114,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
3,abstract_algebra,C,C,1,679.4855999978608,113,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
4,high_school_computer_science,A,A,1,685.3652999998303,103,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""A""}\n```"
5,machine_learning,C,C,1,449.34859999921173,127,qwen3_chat_template_nonthinking_json_answer_greedy,"{""answer"": ""C""}"
6,abstract_algebra,D,C,0,717.9667000018526,116,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
7,high_school_computer_science,A,A,1,458.6354000020947,216,qwen3_chat_template_nonthinking_json_answer_greedy,"{""answer"": ""A""}"
8,machine_learning,B,C,0,678.3595999986574,132,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
9,abstract_algebra,B,C,0,690.3324999984761,127,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
10,high_school_computer_science,C,A,0,679.816200001369,279,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""A""}\n```"
11,machine_learning,D,D,1,656.4766000010422,124,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""D""}\n```"
12,abstract_algebra,B,C,0,673.5674000010476,141,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
13,high_school_computer_science,B,B,1,753.8291999990179,139,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""B""}\n```"
14,machine_learning,A,A,1,660.4837000013504,95,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"":""A""}\n```"
15,abstract_algebra,A,C,0,720.9530999971321,140,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
16,high_school_computer_science,C,C,1,678.1316000015067,169,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
17,machine_learning,B,C,0,664.8167000021203,131,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
18,abstract_algebra,A,C,0,648.555400002806,128,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
19,high_school_computer_science,B,C,0,659.825799997634,224,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
20,machine_learning,A,C,0,676.0087000002386,115,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
21,abstract_algebra,D,C,0,664.4857999999658,111,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
22,high_school_computer_science,B,B,1,696.8154999995022,205,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""B""}\n```"
23,machine_learning,B,C,0,661.5645000019867,124,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
24,abstract_algebra,B,B,1,673.8241000020935,94,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""B""}\n```"
25,high_school_computer_science,A,D,0,662.3927000000549,173,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""D""}\n```"
26,machine_learning,C,C,1,657.1222999991733,99,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
27,abstract_algebra,C,C,1,711.5646999991441,107,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
28,high_school_computer_science,B,C,0,778.8016000013158,141,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
29,machine_learning,A,B,0,742.2805999995035,94,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""B""}\n```"
30,abstract_algebra,C,C,1,653.4045000007609,132,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
31,high_school_computer_science,B,C,0,762.1537999984866,142,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
